Gene ID	source_id	Product Description	Gene Name or Symbol	gene_source_id	P. falciparum Su Seven Stages RNA Seq data - Ring - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Early Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Late Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Schizont - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte II - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte V - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ookinete - unique (3D7 7Stages RNA-Seq)	
PF3D7_0201900	PF3D7_0201900.1	erythrocyte membrane protein 3	EMP3	PF3D7_0201900	13.43	0.71	1.88	0	17.01	3.41	15.23	
PF3D7_0202000	PF3D7_0202000.1	knob-associated histidine-rich protein	KAHRP	PF3D7_0202000	6239.28	125.43	53.73	19.85	536.8	46.75	494.26	
PF3D7_0202100	PF3D7_0202100.1	liver stage associated protein 2	LSAP2	PF3D7_0202100	29.35	38.93	24.64	8.86	1.55	3.23	34.36	
PF3D7_0202200	PF3D7_0202200.1	EMP1-trafficking protein	PTP1	PF3D7_0202200	153.37	17.02	10.17	0.71	1.21	1.44	10.22	
PF3D7_0202300	PF3D7_0202300.1	Plasmodium exported protein (hyp11), unknown function	N/A	PF3D7_0202300	8.24	12	0.62	0.77	0.88	0.52	0	
PF3D7_0202400	PF3D7_0202400.1	translation-enhancing factor	PTEF	PF3D7_0202400	45.43	199.28	42.54	17.65	17.41	6.27	38.23	
PF3D7_0202500	PF3D7_0202500.1	early transcribed membrane protein 2	ETRAMP2	PF3D7_0202500	10275.72	1724.19	1991.94	887.33	732.67	37.89	657.95	
PF3D7_0202600	PF3D7_0202600.1	nucleic acid-binding protein, putative	N/A	PF3D7_0202600	15.49	18	16.22	5.54	5.68	41.83	38.42	
PF3D7_0202600	PF3D7_0202600.2	nucleic acid-binding protein, putative	N/A	PF3D7_0202600	15.49	18	16.22	5.54	5.68	41.83	38.42	
PF3D7_0202700	PF3D7_0202700.1	octaprenyl pyrophosphate synthase	OPP	PF3D7_0202700	3.47	4.26	17.49	11.87	11.98	51.88	4.6	
PF3D7_0202800	PF3D7_0202800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0202800	7.49	0.42	17.23	11.94	36.86	267.5	0	
PF3D7_0202900	PF3D7_0202900.1	palmitoyltransferase DHHC12, putative	DHHC12	PF3D7_0202900	5.11	0.53	23.46	7.88	55.42	192.49	15.49	
PF3D7_0203000	PF3D7_0203000.1	repetitive organellar protein, putative	ROPE	PF3D7_0203000	6.87	1.93	28.18	30.54	10.37	23.16	52.83	
PF3D7_0203100	PF3D7_0203100.1	protein kinase, putative	N/A	PF3D7_0203100	7.84	2.73	7.18	18.51	6.99	47.89	45.47	
PF3D7_0203200	PF3D7_0203200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0203200	14.05	7.84	7.47	4.06	8.32	88.62	27.33	
PF3D7_0203300	PF3D7_0203300.1	ERCC1 nucleotide excision repair protein, putative	ERCC1	PF3D7_0203300	6.53	3.57	13.9	6.8	44.43	474.69	69.37	
PF3D7_0203400	PF3D7_0203400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0203400	8	3.33	329.08	98.71	2685.22	602.58	75.44	
PF3D7_0203600	PF3D7_0203600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0203600	5.34	1.45	12.06	6.49	5.72	18.91	2.34	
PF3D7_0203700	PF3D7_0203700.1	protein MAK16, putative	MAK16	PF3D7_0203700	215.35	356.28	65.4	7.97	60.01	35.91	63.1	
PF3D7_0203800	PF3D7_0203800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0203800	4.8	1.6	20.66	4.18	41.06	567.51	1112.07	
PF3D7_0203900	PF3D7_0203900.1	5'-3' exonuclease, putative	N/A	PF3D7_0203900	4.51	16.43	48.34	20.71	7.51	14.76	17.15	
PF3D7_0204000	PF3D7_0204000.1	condensin-2 complex subunit H2, putative	CAPH2	PF3D7_0204000	3.12	3.14	10.35	2.85	4.12	24.53	13.67	
PF3D7_0204100	PF3D7_0204100.1	Sel1 repeat-containing protein, putative	N/A	PF3D7_0204100	6.83	5.78	92.65	274.27	25.15	64.24	54.85	
PF3D7_0204200	PF3D7_0204200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0204200	113.48	174.94	143.32	63.34	347.84	1102.38	397.34	
PF3D7_0204300	PF3D7_0204300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0204300	38.52	22.27	11.79	3.26	2.36	9.53	66.86	
PF3D7_0204400	PF3D7_0204400.1	dynein light chain, putative	N/A	PF3D7_0204400	40.38	16.55	16.6	3.82	0	1.29	18.36	
PF3D7_0204500	PF3D7_0204500.1	aspartate transaminase	AspAT	PF3D7_0204500	38.08	17.86	22.91	4.07	3.47	0.69	13.43	
PF3D7_0204600	PF3D7_0204600.1	5'-3' exonuclease, putative	N/A	PF3D7_0204600	9.19	14	10	6.6	2.66	13.58	7.09	
PF3D7_0204700	PF3D7_0204700.1	hexose transporter	HT1	PF3D7_0204700	86.47	218.51	208.26	203.54	255.87	57.86	74.61	
PF3D7_0204800	PF3D7_0204800.1	3'-5' exonuclease, putative	N/A	PF3D7_0204800	3.8	5.76	16.2	4.95	59.38	211.9	9.51	
PF3D7_0204900	PF3D7_0204900.1	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative	COQ5	PF3D7_0204900	6.7	9.35	47.46	15.7	90.58	108.9	5.59	
PF3D7_0205000	PF3D7_0205000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0205000	5.67	0.3	3.28	0.41	21.9	150.94	39.93	
PF3D7_0205100	PF3D7_0205100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0205100	3.53	0.51	1.65	0.58	8.15	62.28	27.39	
PF3D7_0205200	PF3D7_0205200.1	MORN repeat protein, putative	N/A	PF3D7_0205200	3.45	0.26	3.18	0	11.32	54.65	22.65	
PF3D7_0205300	PF3D7_0205300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0205300	2.39	1.08	1.82	0.33	11.79	27.53	12.05	
PF3D7_0205400	PF3D7_0205400.1	PCI domain-containing protein, putative	N/A	PF3D7_0205400	47.98	18.73	20.76	3.61	42.28	78.15	15.15	
PF3D7_0205500	PF3D7_0205500.1	DNA-directed RNA polymerase II 16 kDa subunit, putative	N/A	PF3D7_0205500	69.41	39.54	71.8	10.86	259.42	296.98	26.09	
PF3D7_0205600	PF3D7_0205600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0205600	12.29	25.77	60.39	31.15	33.4	20.44	36.64	
PF3D7_0205700	PF3D7_0205700.1	RNA-binding protein, putative	N/A	PF3D7_0205700	32.51	26.56	18.51	8.33	85.26	433.24	37.79	
PF3D7_0205700	PF3D7_0205700.2	RNA-binding protein, putative	N/A	PF3D7_0205700	32.51	26.56	18.51	8.33	85.26	433.24	37.79	
PF3D7_0205800	PF3D7_0205800.1	PH domain-containing protein, putative	PH1	PF3D7_0205800	41.66	25.32	92.02	85.29	249.27	607.8	86.04	
PF3D7_0205900	PF3D7_0205900.1	26S proteasome regulatory subunit RPN1, putative	RPN1	PF3D7_0205900	81.71	162.59	476.23	584.62	253.89	96.44	153.81	
PF3D7_0206000	PF3D7_0206000.1	DNA repair protein RAD2, putative	RAD2	PF3D7_0206000	16.73	19.62	16.3	14.83	4.72	18.57	158.83	
PF3D7_0206100	PF3D7_0206100.1	cysteine desulfuration protein SufE	SufE	PF3D7_0206100	29.45	43.1	39.87	18.99	49.29	47.54	93.21	
PF3D7_0206200	PF3D7_0206200.1	pantothenate transporter	PAT	PF3D7_0206200	12.11	4.51	48.33	66	11.2	45.95	156.79	
PF3D7_0206300	PF3D7_0206300.1	pentafunctional AROM polypeptide, putative, pseudogene	AROM	PF3D7_0206300	20.59	23.92	12.63	2.02	8.72	20.06	12.45	
PF3D7_0206500	PF3D7_0206500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0206500	45.09	58.06	35.35	12.64	7.92	44.12	46.58	
PF3D7_0206600	PF3D7_0206600.1	DNA-directed RNA polymerase III subunit RPC10, putative	N/A	PF3D7_0206600	51.34	29.11	10.91	0	20.84	36.59	0	
PF3D7_0206700	PF3D7_0206700.1	adenylosuccinate lyase	ADSL	PF3D7_0206700	88.32	92.93	78.37	56.85	41.03	19.11	12.6	
PF3D7_0206800	PF3D7_0206800.1	merozoite surface protein 2	MSP2	PF3D7_0206800	279.66	213.41	9868.63	63443.51	370.99	65.55	437.66	
PF3D7_0206900	PF3D7_0206900.1	merozoite surface protein 5	MSP5	PF3D7_0206900	5.27	13.51	53.23	42.81	9.23	3.25	69.14	
PF3D7_0206900	PF3D7_0206900.2	merozoite surface protein 5	MSP5	PF3D7_0206900	5.27	13.51	53.23	42.81	9.23	3.25	69.14	
PF3D7_0207000	PF3D7_0207000.1	merozoite surface protein 4	MSP4	PF3D7_0207000	27.39	20.01	1192.39	4876.49	590.66	148.78	277.85	
PF3D7_0207100	PF3D7_0207100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0207100	5.38	5.56	34.56	38.06	19.22	36.08	287.64	
PF3D7_0207200	PF3D7_0207200.1	iron-sulfur assembly protein, putative	ISCA1	PF3D7_0207200	3.17	0.95	5.18	5.13	16.77	105.95	30.79	
PF3D7_0207300	PF3D7_0207300.1	serine repeat antigen 8	SERA8	PF3D7_0207300	3.91	0.75	1.84	2.43	1.9	2.78	8.75	
PF3D7_0207400	PF3D7_0207400.1	serine repeat antigen 7	SERA7	PF3D7_0207400	5.56	1.89	282.97	150.39	15.61	1.11	27.75	
PF3D7_0207500	PF3D7_0207500.1	serine repeat antigen 6	SERA6	PF3D7_0207500	10.1	2.23	532.5	427.2	18.31	1.63	32.19	
PF3D7_0207600	PF3D7_0207600.1	serine repeat antigen 5	SERA5	PF3D7_0207600	60.5	18.32	6551.42	18702.59	468.26	22.49	427.72	
PF3D7_0207700	PF3D7_0207700.1	serine repeat antigen 4	SERA4	PF3D7_0207700	9.59	2.92	826.24	2144.16	78.24	3.05	11.33	
PF3D7_0207800	PF3D7_0207800.1	serine repeat antigen 3	SERA3	PF3D7_0207800	6.08	1.59	126.58	216.15	8.45	0.83	22.9	
PF3D7_0207900	PF3D7_0207900.1	serine repeat antigen 2	SERA2	PF3D7_0207900	5.68	1.25	154.44	60.84	12.73	1.14	1.34	
PF3D7_0208000	PF3D7_0208000.1	serine repeat antigen 1	SERA1	PF3D7_0208000	5.35	0.51	41.45	43.77	10.97	10.68	30.89	
PF3D7_0208100	PF3D7_0208100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0208100	3.99	4.42	65.44	50.04	30.29	44.05	47.36	
PF3D7_0208200	PF3D7_0208200.1	KRR1 small subunit processome component, putative	KRR1	PF3D7_0208200	69.62	53.27	37.82	3.43	15.6	55.74	23.06	
PF3D7_0208300	PF3D7_0208300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0208300	13.48	10.88	8.53	2.18	16.08	33.85	3.85	
PF3D7_0208400	PF3D7_0208400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0208400	17.18	21.15	31.31	24.53	18.79	71.65	32.54	
PF3D7_0208500	PF3D7_0208500.1	acyl carrier protein	ACP	PF3D7_0208500	5.34	4.07	27.5	16.45	61.23	184.9	39.52	
PF3D7_0208600	PF3D7_0208600.1	ribosome-recycling factor	RRF1	PF3D7_0208600	7.26	27.73	98.53	26.89	11.76	28.16	95.38	
PF3D7_0208700	PF3D7_0208700.1	SHS2 domain-containing protein, putative	N/A	PF3D7_0208700	124.97	74.66	67.85	27.6	693.17	763.17	35.36	
PF3D7_0208700	PF3D7_0208700.2	unspecified product	N/A	PF3D7_0208700	124.97	74.66	67.85	27.6	693.17	763.17	35.36	
PF3D7_0208800	PF3D7_0208800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0208800	13.92	18.17	29.86	13.99	387.38	1044.77	6.3	
PF3D7_0208900	PF3D7_0208900.1	6-cysteine protein P230p	P230p	PF3D7_0208900	4.97	1.28	1.41	0.08	1.73	5.15	4.54	
PF3D7_0209000	PF3D7_0209000.1	6-cysteine protein P230	P230	PF3D7_0209000	4.53	1.4	0.85	0	26.08	124.93	183.23	
PF3D7_0209100	PF3D7_0209100.1	patatin-like phospholipase 1	PATPL1	PF3D7_0209100	50.72	22.08	70.83	55.55	18.47	16.45	50.31	
PF3D7_0209200	PF3D7_0209200.1	exosome complex component MTR3, putative	MTR3	PF3D7_0209200	37.96	28.68	24.48	5.23	41.25	25.58	129.33	
PF3D7_0209300	PF3D7_0209300.1	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	IspF	PF3D7_0209300	4.94	10.59	13.15	4.28	25.32	50.47	18.51	
PF3D7_0209400	PF3D7_0209400.1	conserved protein, unknown function	N/A	PF3D7_0209400	7.66	8.49	19.14	8.7	10.93	65.57	14.29	
PF3D7_0209500	PF3D7_0209500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0209500	4.6	0.51	1.32	3.27	1.86	26.16	150.21	
PF3D7_0209600	PF3D7_0209600.1	transporter, putative	N/A	PF3D7_0209600	14.7	3.74	71.11	146.47	9.01	8.64	10.5	
PF3D7_0209700	PF3D7_0209700.1	RING zinc finger protein, putative	N/A	PF3D7_0209700	134.38	153.73	84.36	129.86	60.23	82.69	89.75	
PF3D7_0209800	PF3D7_0209800.1	ATP-dependent RNA helicase UAP56	UAP56	PF3D7_0209800	565.63	868.95	730.6	383.51	143.24	85.32	306.34	
PF3D7_0210000	PF3D7_0210000.1	secretory complex protein 61 gamma subunit	Sec61-gamma	PF3D7_0210000	268.68	527.44	767.41	354.91	1056.23	5520.19	235.8	
PF3D7_0210100	PF3D7_0210100.1	60S ribosomal protein L37ae, putative	N/A	PF3D7_0210100	1327.18	2888.97	1322.42	1044.77	6396.65	1561.76	500.89	
PF3D7_0210100	PF3D7_0210100.2	60S ribosomal protein L37ae, putative	N/A	PF3D7_0210100	1327.18	2888.97	1322.42	1044.77	6396.65	1561.76	500.89	
PF3D7_0210200	PF3D7_0210200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0210200	5.43	12.17	56.25	29.58	38.17	61.89	25.09	
PF3D7_0210300	PF3D7_0210300.1	monocarboxylate transporter, putative	N/A	PF3D7_0210300	4.7	9.37	75.75	37.86	39.46	41.67	16.24	
PF3D7_0210400	PF3D7_0210400.1	50S ribosomal protein L33, putative	N/A	PF3D7_0210400	12.74	27.66	72.98	8.6	70.42	54.76	12.39	
PF3D7_0210500	PF3D7_0210500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0210500	3.83	9.55	4.43	1.07	12.2	32.49	12.51	
PF3D7_0210600	PF3D7_0210600.1	protein CERLI1	CERLI1	PF3D7_0210600	5.32	2.74	73.61	142.68	31.24	323.27	229.59	
PF3D7_0210700	PF3D7_0210700.1	syntaxin, Qa-SNARE family	SYN17	PF3D7_0210700	2.88	1.13	6.75	1.97	16.77	168.45	20.46	
PF3D7_0210800	PF3D7_0210800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0210800	16.88	11.29	7.12	3.47	37.8	96.12	4.77	
PF3D7_0210900	PF3D7_0210900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0210900	96.78	83.31	95.84	31.14	8.65	49.79	73.06	
PF3D7_0211100	PF3D7_0211100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0211100	1.92	2.91	1.15	0.18	2.41	11.28	0	
PF3D7_0211200	PF3D7_0211200.1	ras-related protein Rab-5A	RAB5a	PF3D7_0211200	5.52	12.77	40.11	20.12	69.12	81.46	12.6	
PF3D7_0211300	PF3D7_0211300.1	ubiquinol-cytochrome-c reductase complex assembly factor 1, putative	N/A	PF3D7_0211300	2.9	0.87	19.21	9.16	192.26	128.84	18.61	
PF3D7_0211400	PF3D7_0211400.1	beta-ketoacyl-ACP synthase III	KASIII	PF3D7_0211400	3.65	0.69	7.17	0	35.96	77.43	9.33	
PF3D7_0211500	PF3D7_0211500.1	GAF domain-related protein, putative	N/A	PF3D7_0211500	2.68	0.74	8.94	3.31	9.14	13.8	11.14	
PF3D7_0211600	PF3D7_0211600.1	UDP-N-acetylglucosamine transferase subunit ALG14, putative	ALG14	PF3D7_0211600	3.24	0.49	6.75	7.86	17.32	31.29	7.08	
PF3D7_0211700	PF3D7_0211700.1	tyrosine kinase-like protein, putative	TKL1	PF3D7_0211700	4.18	5.75	11.86	4.35	5.42	16.26	10.85	
PF3D7_0211800	PF3D7_0211800.1	asparagine--tRNA ligase	AsnRS	PF3D7_0211800	182.52	139.56	164.01	45.6	51.67	20.37	46.25	
PF3D7_0211900	PF3D7_0211900.1	pseudouridine synthase, putative	N/A	PF3D7_0211900	14.07	4.08	78.5	31.12	21.34	84.32	13.19	
PF3D7_0212000	PF3D7_0212000.1	GDP-fructose:GMP antiporter, putative	N/A	PF3D7_0212000	5.08	2.78	44.91	16.54	173.03	282.32	33.37	
PF3D7_0212100	PF3D7_0212100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0212100	36.93	45.67	90.84	47.54	33.84	21.56	87.06	
PF3D7_0212200	PF3D7_0212200.1	ribosomal protein L12, mitochondrial, putative	N/A	PF3D7_0212200	32.52	57.05	24.76	4.03	77.93	104.32	58.1	
PF3D7_0212300	PF3D7_0212300.1	eukaryotic peptide chain release factor subunit 1, putative	ERF1	PF3D7_0212300	249.84	404.56	304.77	66.55	34.82	24.17	93.83	
PF3D7_0212400	PF3D7_0212400.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0212400	13.08	22.14	17.53	6.36	13.54	32.7	11.75	
PF3D7_0212500	PF3D7_0212500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0212500	47.53	59.28	41.86	13.65	14.53	27.45	41.37	
PF3D7_0212600	PF3D7_0212600.1	secreted protein with altered thrombospondin repeat domain	SPATR	PF3D7_0212600	16.92	2.44	141.22	200.64	73.41	16.15	177.77	
PF3D7_0212700	PF3D7_0212700.1	SRR1-like protein	N/A	PF3D7_0212700	5.56	7.52	10.89	5.07	3.93	129.52	199.2	
PF3D7_0212800	PF3D7_0212800.1	multidrug efflux pump, putative	MATE	PF3D7_0212800	3.79	11.3	27.2	11.12	34.87	44.06	12.95	
PF3D7_0212900	PF3D7_0212900.1	arginyl-tRNA--protein transferase	ATEL1	PF3D7_0212900	3.56	0.7	72.81	55.27	5.45	12.61	31.16	
PF3D7_0213000	PF3D7_0213000.1	conserved protein, unknown function	N/A	PF3D7_0213000	5.43	1.22	15.23	9.89	35.14	169.96	29.69	
PF3D7_0213100	PF3D7_0213100.1	protein SIS1	SIS1	PF3D7_0213100	62.49	341.92	170.99	42.03	122	206.75	304.4	
PF3D7_0213200	PF3D7_0213200.1	conserved protein, unknown function	N/A	PF3D7_0213200	5.8	8.44	24.96	9.75	169.11	360.55	31.23	
PF3D7_0213300	PF3D7_0213300.1	conserved protein, unknown function	N/A	PF3D7_0213300	7.17	9.7	57.54	20.9	511.03	178.75	87.86	
PF3D7_0213400	PF3D7_0213400.1	protein kinase 7	PK7	PF3D7_0213400	5.93	4.9	21.34	15	64.14	53.45	158.53	
PF3D7_0213500	PF3D7_0213500.1	tetratricopeptide repeat protein, putative	N/A	PF3D7_0213500	11.92	12.41	28.04	4.92	24.18	34.12	102.17	
PF3D7_0213600	PF3D7_0213600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0213600	4.31	0.76	2.4	0.17	11.69	56.07	10.66	
PF3D7_0213700	PF3D7_0213700.1	conserved protein, unknown function	N/A	PF3D7_0213700	62.48	227.97	100.35	5.33	886.63	430.72	54.38	
PF3D7_0213800	PF3D7_0213800.1	conserved protein, unknown function	N/A	PF3D7_0213800	5.83	7.01	1.99	0.62	8.23	134.81	78.44	
PF3D7_0213900	PF3D7_0213900.1	RTR1 domain-containing protein, putative	N/A	PF3D7_0213900	22.71	52.55	13.22	2.3	13.07	16.17	14.02	
PF3D7_0214000	PF3D7_0214000.1	T-complex protein 1 subunit theta	CCT8	PF3D7_0214000	97.84	138.61	109.75	19.77	40.2	18.8	65.74	
PF3D7_0214100	PF3D7_0214100.1	protein transport protein SEC31	SEC31	PF3D7_0214100	326.67	177.37	562.52	2443.15	64.66	29.92	45.47	
PF3D7_0214200	PF3D7_0214200.1	ribosomal protein L13, mitochondrial	mRPL13	PF3D7_0214200	19.94	5.99	155.45	47.48	511.86	85.33	51.21	
PF3D7_0214300	PF3D7_0214300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0214300	6.95	1	5.22	0.25	9.71	15.68	20.42	
PF3D7_0214400	PF3D7_0214400.1	conserved protein, unknown function	N/A	PF3D7_0214400	101.4	70.83	25.09	1	20.25	76.9	99.16	
PF3D7_0214500	PF3D7_0214500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0214500	9.22	3.99	3.12	0.67	37.08	57.16	0	
PF3D7_0214600	PF3D7_0214600.1	serine/threonine protein kinase STK2, putative	STK2	PF3D7_0214600	5.88	0.66	14.52	11.07	1.23	7.58	176.63	
PF3D7_0214700	PF3D7_0214700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0214700	7.13	0.34	11.18	12.99	17.49	30.56	160.88	
PF3D7_0214800	PF3D7_0214800.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0214800	47.64	136.85	30.43	15.65	13.69	10.5	20.96	
PF3D7_0214900	PF3D7_0214900.1	rhoptry neck protein 6	RON6	PF3D7_0214900	6.61	1.88	80.9	288.22	37.02	14.33	53.17	
PF3D7_0215000	PF3D7_0215000.1	acyl-CoA synthetase	ACS9	PF3D7_0215000	6.07	6.28	66.04	28.19	86.63	103.68	107.44	
PF3D7_0215100	PF3D7_0215100.1	RING zinc finger protein, putative	N/A	PF3D7_0215100	20.08	26.98	94.42	58.68	98.52	47	111.09	
PF3D7_0215200	PF3D7_0215200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0215200	6.24	1.25	3.23	3.37	2.4	67.63	279.25	
PF3D7_0215300	PF3D7_0215300.1	acyl-CoA synthetase	ACS8	PF3D7_0215300	23.32	3.91	14.26	1.86	0.66	2.12	11.71	
PF3D7_0215400	PF3D7_0215400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0215400	54.6	78.98	58.76	64.7	20.26	15.52	48.92	
PF3D7_0215500	PF3D7_0215500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0215500	25.76	27.57	16.08	9.17	4.14	15.44	16.85	
PF3D7_0215600	PF3D7_0215600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0215600	29.3	15.29	21.26	3.58	21.79	66.27	27	
PF3D7_0215700	PF3D7_0215700.1	DNA-directed RNA polymerase II subunit RPB2, putative	RPB2	PF3D7_0215700	80.58	111.83	142.77	40.33	6.21	6.52	28.47	
PF3D7_0215800	PF3D7_0215800.1	origin recognition complex subunit 5	ORC5	PF3D7_0215800	5.35	2.21	23.54	8.26	7.43	20.51	11.57	
PF3D7_0215900	PF3D7_0215900.1	palmitoyltransferase DHHC11, putative	DHHC11	PF3D7_0215900	2.39	0.39	12.62	4.74	39.57	162.05	28.49	
PF3D7_0216000	PF3D7_0216000.1	DEAD/DEAH box helicase, putative	N/A	PF3D7_0216000	4.85	0.51	8.39	1.24	5.29	92.34	388.09	
PF3D7_0216100	PF3D7_0216100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0216100	5.7	2.33	10.61	4.19	13.29	37.76	5.45	
PF3D7_0216200	PF3D7_0216200.1	Alba domain-containing protein, putative	N/A	PF3D7_0216200	27.33	33.15	20.12	3.62	14.93	39.86	21.74	
PF3D7_0216300	PF3D7_0216300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0216300	15.16	14.78	7.54	0.3	5.69	10.88	4.66	
PF3D7_0216400	PF3D7_0216400.1	vacuolar protein sorting-associated protein 45	VPS45	PF3D7_0216400	6.11	3.67	27.86	17.41	19.64	44.57	8.23	
PF3D7_0216500	PF3D7_0216500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0216500	5.72	1.58	6.37	3.89	3.43	19.77	63.03	
PF3D7_0216600	PF3D7_0216600.1	sugar transporter, putative	N/A	PF3D7_0216600	44.85	40.58	75.21	63.09	30.07	41.52	184.74	
PF3D7_0216700	PF3D7_0216700.1	autophagy-related protein 11, putative	ATG11	PF3D7_0216700	8.39	3.39	31.73	17.9	15.18	19.19	151.17	
PF3D7_0216700	PF3D7_0216700.2	autophagy-related protein 11, putative	ATG11	PF3D7_0216700	8.39	3.39	31.73	17.9	15.18	19.19	151.17	
PF3D7_0216800	PF3D7_0216800.1	TMEM121 domain-containing protein, putative	N/A	PF3D7_0216800	4.49	0.82	48.94	289.47	7.32	5.48	1.77	
PF3D7_0216900	PF3D7_0216900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0216900	3.5	0.37	18.65	6.38	11.74	21.1	5.41	
PF3D7_0217000	PF3D7_0217000.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0217000	1.97	0.1	8.71	2.75	40.24	60.53	3.55	
PF3D7_0217100	PF3D7_0217100.1	ATP synthase subunit alpha, mitochondrial	N/A	PF3D7_0217100	7.18	4.26	196.57	90.86	63.36	67.38	61.97	
PF3D7_0217200	PF3D7_0217200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0217200	7.01	3.6	6.1	1.36	10.85	37.07	8.18	
PF3D7_0217300	PF3D7_0217300.1	AP-2 complex subunit sigma, putative	AP2S	PF3D7_0217300	23.93	9.71	20.26	7.27	221.49	177.72	24.44	
PF3D7_0217400	PF3D7_0217400.1	conserved protein, unknown function	N/A	PF3D7_0217400	7.6	8.22	15.67	9.7	66.95	99	139.75	
PF3D7_0217500	PF3D7_0217500.1	calcium-dependent protein kinase 1	CDPK1	PF3D7_0217500	9.82	2.72	233.13	431.28	43.59	48.47	148.26	
PF3D7_0217600	PF3D7_0217600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0217600	8.24	20.41	19.3	5.67	7.75	13.93	55.34	
PF3D7_0217700	PF3D7_0217700.1	E2F-associated phosphoprotein, putative	N/A	PF3D7_0217700	36.15	53.67	25.2	2.63	20.97	83.29	556.96	
PF3D7_0217800	PF3D7_0217800.1	40S ribosomal protein S26	RPS26	PF3D7_0217800	513.93	1539.91	1150.66	271.38	1620.2	678.37	390.2	
PF3D7_0217900	PF3D7_0217900.1	thioesterase/thiol ester dehydrase-isomerase, putative	N/A	PF3D7_0217900	26.9	8.15	113.24	34.93	13.77	31.46	27.65	
PF3D7_0218000	PF3D7_0218000.1	replication factor C subunit 2, putative	RFC2	PF3D7_0218000	9.07	15.12	169.33	61.73	76.94	66.95	626.09	
PF3D7_0218100	PF3D7_0218100.1	conserved protein, unknown function	N/A	PF3D7_0218100	2.39	0.72	27.88	23.77	47.47	336.38	1.39	
PF3D7_0218200	PF3D7_0218200.1	SUZ domain-containing protein, putative	N/A	PF3D7_0218200	6.73	16.37	18.43	9.96	31.52	105.47	11.04	
PF3D7_0218300	PF3D7_0218300.1	rRNA methyltransferase, putative	N/A	PF3D7_0218300	27.92	18.99	47.11	21.51	141.49	276.48	22.34	
PF3D7_0218400	PF3D7_0218400.1	ATP-dependent RNA helicase DDX47, putative	DDX47	PF3D7_0218400	116.09	61.13	20.37	6.23	22.51	34.77	27.3	
